index_code,date,close,open,high,low,SP500,gold,WTI_oil,label
eur_usd,1/1/1988,1.22780 ,1.22780 ,1.31130 ,1.21780 ,257.07000 ,454.20000 ,16.94000 ,1.22280 
eur_usd,2/1/1988,1.22280 ,1.22280 ,1.23130 ,1.19600 ,267.82000 ,430.50000 ,16.01000 ,1.25150 
eur_usd,3/1/1988,1.25150 ,1.25150 ,1.25400 ,1.21690 ,258.89000 ,454.40000 ,17.08000 ,1.23680 
eur_usd,4/1/1988,1.23680 ,1.23680 ,1.25860 ,1.22190 ,261.33000 ,451.00000 ,17.99000 ,1.20200 
eur_usd,5/1/1988,1.20200 ,1.20200 ,1.24010 ,1.19960 ,262.16000 ,455.00000 ,17.51000 ,1.14290 
eur_usd,6/1/1988,1.14290 ,1.14290 ,1.21270 ,1.13360 ,273.50000 ,435.30000 ,15.16000 ,1.10910 
eur_usd,7/1/1988,1.10910 ,1.10910 ,1.14590 ,1.09710 ,272.02000 ,436.10000 ,16.31000 ,1.10530 
eur_usd,8/1/1988,1.10530 ,1.10530 ,1.12140 ,1.08270 ,261.52000 ,431.30000 ,15.18000 ,1.10930 
eur_usd,9/1/1988,1.10930 ,1.10930 ,1.12590 ,1.09550 ,271.91000 ,394.40000 ,13.37000 ,1.15960 
eur_usd,10/1/1988,1.15960 ,1.15960 ,1.17320 ,1.10890 ,278.97000 ,412.70000 ,13.58000 ,1.20020 
eur_usd,11/1/1988,1.20020 ,1.20020 ,1.21170 ,1.14970 ,273.70000 ,424.80000 ,15.32000 ,1.17340 
eur_usd,12/1/1988,1.17340 ,1.17340 ,1.20840 ,1.15530 ,277.72000 ,410.00000 ,17.24000 ,1.11280 
eur_usd,1/1/1989,1.11280 ,1.11280 ,1.18250 ,1.11120 ,297.47000 ,391.60000 ,17.03000 ,1.13860 
eur_usd,2/1/1989,1.13860 ,1.13860 ,1.14630 ,1.10390 ,288.86000 ,387.50000 ,18.15000 ,1.09760 
eur_usd,3/1/1989,1.09760 ,1.09760 ,1.13870 ,1.09370 ,294.87000 ,385.10000 ,20.19000 ,1.10530 
eur_usd,4/1/1989,1.10530 ,1.10530 ,1.12680 ,1.09410 ,309.64000 ,377.90000 ,20.42000 ,1.04690 
eur_usd,5/1/1989,1.04690 ,1.04690 ,1.10590 ,1.02790 ,320.52000 ,363.30000 ,19.90000 ,1.05880 
eur_usd,6/1/1989,1.05880 ,1.05880 ,1.07040 ,1.01140 ,317.98000 ,374.60000 ,20.27000 ,1.11330 
eur_usd,7/1/1989,1.11330 ,1.11330 ,1.11560 ,1.05610 ,346.08000 ,370.50000 ,18.31000 ,1.05690 
eur_usd,8/1/1989,1.05690 ,1.05690 ,1.12190 ,1.05150 ,351.45000 ,359.90000 ,18.83000 ,1.10120 
eur_usd,9/1/1989,1.10120 ,1.10120 ,1.10670 ,1.03590 ,349.15000 ,367.20000 ,20.13000 ,1.11390 
eur_usd,10/1/1989,1.11390 ,1.11390 ,1.12210 ,1.06850 ,340.36000 ,374.70000 ,19.94000 ,1.14310 
eur_usd,11/1/1989,1.14310 ,1.14310 ,1.14810 ,1.10080 ,345.99000 ,411.60000 ,19.89000 ,1.19180 
eur_usd,12/1/1989,1.19180 ,1.19180 ,1.20400 ,1.13660 ,353.40000 ,402.50000 ,21.82000 ,1.20850 
eur_usd,1/1/1990,1.20850 ,1.20850 ,1.22080 ,1.16890 ,329.08000 ,412.40000 ,22.68000 ,1.20080 
eur_usd,2/1/1990,1.20080 ,1.20080 ,1.23250 ,1.19960 ,331.89000 ,406.10000 ,21.54000 ,1.20650 
eur_usd,3/1/1990,1.20650 ,1.20650 ,1.21300 ,1.18410 ,339.94000 ,370.20000 ,20.28000 ,1.21880 
eur_usd,4/1/1990,1.21880 ,1.21880 ,1.22440 ,1.19810 ,330.80000 ,368.40000 ,18.54000 ,1.21170 
eur_usd,5/1/1990,1.21170 ,1.21170 ,1.25400 ,1.20870 ,361.23000 ,364.30000 ,17.40000 ,1.23650 
eur_usd,6/1/1990,1.23650 ,1.23650 ,1.24400 ,1.20620 ,358.02000 ,357.90000 ,17.07000 ,1.30470 
eur_usd,7/1/1990,1.30470 ,1.30470 ,1.30470 ,1.23930 ,356.15000 ,370.00000 ,20.69000 ,1.31600 
eur_usd,8/1/1990,1.31600 ,1.31600 ,1.34650 ,1.27950 ,322.56000 ,382.30000 ,27.32000 ,1.31550 
eur_usd,9/1/1990,1.31550 ,1.31550 ,1.34170 ,1.29590 ,306.05000 ,402.50000 ,39.51000 ,1.36800 
eur_usd,10/1/1990,1.36800 ,1.36800 ,1.38540 ,1.31650 ,304.00000 ,379.40000 ,35.23000 ,1.37100 
eur_usd,11/1/1990,1.37100 ,1.37100 ,1.40220 ,1.35650 ,322.22000 ,383.30000 ,28.85000 ,1.36700 
eur_usd,12/1/1990,1.36700 ,1.36700 ,1.40290 ,1.33390 ,330.22000 ,394.20000 ,28.44000 ,1.39320 
eur_usd,1/1/1991,1.39320 ,1.39320 ,1.39320 ,1.33200 ,343.93000 ,365.80000 ,21.54000 ,1.34570 
eur_usd,2/1/1991,1.34570 ,1.34570 ,1.42140 ,1.34570 ,367.07000 ,367.40000 ,19.16000 ,1.21190 
eur_usd,3/1/1991,1.21190 ,1.21190 ,1.34740 ,1.19720 ,375.22000 ,357.10000 ,19.63000 ,1.19860 
eur_usd,4/1/1991,1.19860 ,1.19860 ,1.24500 ,1.15510 ,375.34000 ,355.90000 ,20.96000 ,1.18040 
eur_usd,5/1/1991,1.18040 ,1.18040 ,1.22270 ,1.16800 ,389.83000 ,361.40000 ,21.13000 ,1.13550 
eur_usd,6/1/1991,1.13550 ,1.13550 ,1.18370 ,1.12620 ,371.16000 ,368.10000 ,20.56000 ,1.17740 
eur_usd,7/1/1991,1.17740 ,1.17740 ,1.18580 ,1.11620 ,387.81000 ,363.60000 ,21.68000 ,1.17550 
eur_usd,8/1/1991,1.17550 ,1.17550 ,1.20560 ,1.12670 ,395.43000 ,348.10000 ,22.26000 ,1.22790 
eur_usd,9/1/1991,1.22790 ,1.22790 ,1.23420 ,1.17440 ,387.86000 ,354.00000 ,22.23000 ,1.22420 
eur_usd,10/1/1991,1.22420 ,1.22420 ,1.23410 ,1.19050 ,392.45000 ,358.10000 ,23.37000 ,1.25500 
eur_usd,11/1/1991,1.25500 ,1.25500 ,1.28870 ,1.22450 ,375.22000 ,367.90000 ,21.48000 ,1.33690 
eur_usd,12/1/1991,1.33690 ,1.33690 ,1.34930 ,1.25900 ,417.09000 ,354.10000 ,19.12000 ,1.26850 
eur_usd,1/1/1992,1.26850 ,1.26850 ,1.35280 ,1.24650 ,408.78000 ,357.00000 ,18.90000 ,1.24850 
eur_usd,2/1/1992,1.24850 ,1.24850 ,1.31120 ,1.22830 ,412.70000 ,353.00000 ,18.68000 ,1.24310 
eur_usd,3/1/1992,1.24310 ,1.24310 ,1.25390 ,1.21300 ,403.69000 ,343.70000 ,19.44000 ,1.24550 
eur_usd,4/1/1992,1.24550 ,1.24550 ,1.26700 ,1.22470 ,414.95000 ,337.60000 ,20.85000 ,1.27850 
eur_usd,5/1/1992,1.27850 ,1.27750 ,1.29400 ,1.24030 ,415.35000 ,336.40000 ,22.11000 ,1.34470 
eur_usd,6/1/1992,1.34470 ,1.27900 ,1.35290 ,1.26600 ,408.14000 ,343.10000 ,21.60000 ,1.38280 
eur_usd,7/1/1992,1.38280 ,1.34450 ,1.40570 ,1.33700 ,424.21000 ,357.40000 ,21.87000 ,1.44100 
eur_usd,8/1/1992,1.44100 ,1.38030 ,1.44970 ,1.37030 ,414.03000 ,342.70000 ,21.48000 ,1.38600 
eur_usd,9/1/1992,1.38600 ,1.44130 ,1.45800 ,1.26520 ,417.80000 ,347.80000 ,21.71000 ,1.27290 
eur_usd,10/1/1992,1.27290 ,1.38550 ,1.39190 ,1.26570 ,418.68000 ,339.40000 ,20.62000 ,1.23120 
eur_usd,11/1/1992,1.23120 ,1.27220 ,1.27300 ,1.21320 ,431.35000 ,334.30000 ,19.89000 ,1.20470 
eur_usd,12/1/1992,1.20470 ,1.23270 ,1.26680 ,1.20290 ,435.71000 ,332.80000 ,19.50000 ,1.21100 
eur_usd,1/1/1993,1.21100 ,1.20400 ,1.25000 ,1.18770 ,438.78000 ,330.20000 ,20.26000 ,1.17800 
eur_usd,2/1/1993,1.17800 ,1.21100 ,1.21100 ,1.16900 ,443.38000 ,328.40000 ,20.60000 ,1.20700 
eur_usd,3/1/1993,1.20700 ,1.17160 ,1.20700 ,1.16080 ,451.67000 ,337.60000 ,20.44000 ,1.23300 
eur_usd,4/1/1993,1.23300 ,1.20400 ,1.24850 ,1.19880 ,440.19000 ,356.50000 ,20.53000 ,1.22410 
eur_usd,5/1/1993,1.22410 ,1.23040 ,1.24770 ,1.19340 ,450.19000 ,378.30000 ,20.02000 ,1.14710 
eur_usd,6/1/1993,1.14710 ,1.22780 ,1.23110 ,1.14160 ,450.53000 ,378.40000 ,18.85000 ,1.09350 
eur_usd,7/1/1993,1.09350 ,1.14810 ,1.16400 ,1.08700 ,448.13000 ,407.00000 ,17.88000 ,1.13800 
eur_usd,8/1/1993,1.13800 ,1.09450 ,1.14430 ,1.08170 ,463.56000 ,373.00000 ,18.29000 ,1.16180 
eur_usd,9/1/1993,1.16180 ,1.13810 ,1.19950 ,1.13600 ,458.93000 ,355.10000 ,18.79000 ,1.13300 
eur_usd,10/1/1993,1.13300 ,1.16150 ,1.18860 ,1.13020 ,467.83000 ,368.70000 ,16.92000 ,1.12050 
eur_usd,11/1/1993,1.12050 ,1.13260 ,1.13930 ,1.11820 ,461.79000 ,369.80000 ,15.43000 ,1.11300 
eur_usd,12/1/1993,1.11300 ,1.11970 ,1.14280 ,1.11300 ,466.45000 ,390.80000 ,14.17000 ,1.12100 
eur_usd,1/1/1994,1.12100 ,1.11300 ,1.12700 ,1.10470 ,481.61000 ,381.60000 ,15.19000 ,1.13320 
eur_usd,2/1/1994,1.13320 ,1.12120 ,1.13630 ,1.10100 ,467.14000 ,381.40000 ,14.48000 ,1.15170 
eur_usd,3/1/1994,1.15170 ,1.13300 ,1.15950 ,1.12250 ,445.77000 ,391.80000 ,14.79000 ,1.16790 
eur_usd,4/1/1994,1.16790 ,1.15100 ,1.17420 ,1.12370 ,450.91000 ,376.60000 ,16.90000 ,1.17080 
eur_usd,5/1/1994,1.17080 ,1.16680 ,1.17980 ,1.14690 ,456.50000 ,387.10000 ,18.31000 ,1.20520 
eur_usd,6/1/1994,1.20520 ,1.17000 ,1.21850 ,1.15210 ,444.27000 ,385.80000 ,19.37000 ,1.20860 
eur_usd,7/1/1994,1.20860 ,1.20630 ,1.25730 ,1.19120 ,458.26000 ,383.00000 ,20.30000 ,1.20690 
eur_usd,8/1/1994,1.20690 ,1.20650 ,1.24520 ,1.19800 ,475.49000 ,386.30000 ,17.56000 ,1.23240 
eur_usd,9/1/1994,1.23240 ,1.20740 ,1.24350 ,1.20690 ,462.71000 ,394.20000 ,18.39000 ,1.26790 
eur_usd,10/1/1994,1.26790 ,1.23240 ,1.28090 ,1.22600 ,472.35000 ,383.50000 ,18.19000 ,1.21540 
eur_usd,11/1/1994,1.21540 ,1.26850 ,1.27630 ,1.21100 ,453.69000 ,380.70000 ,18.05000 ,1.22690 
eur_usd,12/1/1994,1.22690 ,1.21520 ,1.22820 ,1.20250 ,459.27000 ,383.10000 ,17.76000 ,1.23940 
eur_usd,1/1/1995,1.23940 ,1.22690 ,1.25690 ,1.21590 ,470.42000 ,375.40000 ,18.39000 ,1.27130 
eur_usd,2/1/1995,1.27130 ,1.23950 ,1.27900 ,1.22800 ,487.39000 ,376.90000 ,18.49000 ,1.33190 
eur_usd,3/1/1995,1.33190 ,1.27160 ,1.33560 ,1.26900 ,500.71000 ,392.20000 ,19.17000 ,1.32510 
eur_usd,4/1/1995,1.32510 ,1.32750 ,1.35300 ,1.30080 ,514.71000 ,387.00000 ,20.38000 ,1.30500 
eur_usd,5/1/1995,1.30500 ,1.32080 ,1.34450 ,1.26550 ,533.40000 ,385.10000 ,18.89000 ,1.33210 
eur_usd,6/1/1995,1.33210 ,1.30720 ,1.33600 ,1.29110 ,544.75000 ,384.90000 ,17.40000 ,1.34050 
eur_usd,7/1/1995,1.34050 ,1.33210 ,1.35000 ,1.31270 ,562.06000 ,382.30000 ,17.56000 ,1.27460 
eur_usd,8/1/1995,1.27460 ,1.34050 ,1.35250 ,1.25750 ,561.88000 ,382.90000 ,17.84000 ,1.29710 
eur_usd,9/1/1995,1.29710 ,1.27800 ,1.31010 ,1.25060 ,584.41000 ,383.80000 ,17.54000 ,1.30130 
eur_usd,10/1/1995,1.30130 ,1.29740 ,1.32160 ,1.28080 ,581.50000 ,383.00000 ,17.64000 ,1.27550 
eur_usd,11/1/1995,1.27550 ,1.30460 ,1.30900 ,1.27200 ,605.37000 ,387.20000 ,18.18000 ,1.27770 
eur_usd,12/1/1995,1.27770 ,1.27630 ,1.28790 ,1.26020 ,615.93000 ,387.60000 ,19.55000 ,1.23400 
eur_usd,1/1/1996,1.23400 ,1.27690 ,1.29710 ,1.22430 ,636.02000 ,405.60000 ,17.74000 ,1.25510 
